BookingReference,CustomerID,BookingDate,Destination,ServiceType,TripType,NumberOfTravelers,Nights,BookingChannel,BookingAmount,Status
BK202311278036,TRVL000295,2023-11-27,"London, UK",Complete Package,One Way,3,10,Website,14150.67,Confirmed
BK202311272958,TRVL000145,2023-11-27,"Copenhagen, Denmark",Flight Only,Round Trip,1,0,Mobile App,1136.92,Confirmed
BK202311277128,TRVL000124,2023-11-27,"Copenhagen, Denmark",Cruise,Round Trip,2,20,Phone,14882.4,Confirmed
BK202311279164,TRVL000164,2023-11-27,Iceland,Flight + Hotel,Round Trip,4,10,Mobile App,8358.21,Confirmed
BK202311273838,TRVL000066,2023-11-27,"Bangkok, Thailand",Hotel Only,Round Trip,2,19,Website,429.06,Cancelled
BK202311275504,TRVL000017,2023-11-27,"Bali, Indonesia",Hotel Only,One Way,4,9,Mobile App,2671.05,Confirmed
BK202311274162,TRVL000335,2023-11-27,"Berlin, Germany",Cruise,Round Trip,2,10,Phone,14102.11,Confirmed
BK202311279487,TRVL000499,2023-11-27,Singapore,Hotel Only,Round Trip,3,6,Travel Agent,2420.31,Confirmed
BK202311275853,TRVL001844,2023-11-27,"Paris, France",Cruise,Multi-City,1,7,Email,5114.65,Confirmed
BK202311276198,TRVL000241,2023-11-27,"Dubai, UAE",Complete Package,Multi-City,5,19,Mobile App,37827.9,Confirmed
BK202311277089,TRVL000033,2023-11-27,"Amsterdam, Netherlands",Flight + Hotel,Round Trip,3,12,Phone,3054.51,Confirmed
BK202311279881,TRVL000312,2023-11-27,Maldives,Flight + Hotel,Round Trip,2,4,Travel Agent,2651.87,Confirmed
BK202311277953,TRVL000384,2023-11-27,"Copenhagen, Denmark",Flight Only,One Way,1,0,Phone,1270.61,Confirmed
BK202311271442,TRVL000023,2023-11-27,"Amsterdam, Netherlands",Hotel Only,One Way,2,14,Website,1769.27,Confirmed
BK202311275829,TRVL001097,2023-11-27,"New York, USA",Flight + Hotel,Round Trip,5,16,Mobile App,11366.59,Confirmed
BK202311275105,TRVL000064,2023-11-27,"Vienna, Austria",Cruise,Multi-City,1,19,Mobile App,12085.57,Confirmed
BK202311271557,TRVL000777,2023-11-27,"Istanbul, Turkey",Cruise,Multi-City,3,16,Website,26767.4,Confirmed
BK202311274140,TRVL000021,2023-11-27,"Copenhagen, Denmark",Flight + Hotel,Multi-City,1,14,Phone,1138.96,Confirmed
BK202311285485,TRVL001887,2023-11-28,"Bangkok, Thailand",Flight Only,One Way,2,0,Website,931.78,Confirmed
BK202311287414,TRVL000001,2023-11-28,"Barcelona, Spain",Complete Package,One Way,2,12,Mobile App,12517.53,Confirmed
BK202311289497,TRVL001078,2023-11-28,"Tokyo, Japan",Hotel Only,Round Trip,1,17,Mobile App,191.15,Confirmed
BK202311287174,TRVL001972,2023-11-28,"Bali, Indonesia",Flight Only,Multi-City,4,0,Email,3762.31,Confirmed
BK202311287574,TRVL000868,2023-11-28,"Dubai, UAE",Flight Only,Multi-City,1,0,Website,468.97,Confirmed
BK202311287374,TRVL000261,2023-11-28,"Amsterdam, Netherlands",Flight + Hotel,Multi-City,2,12,Phone,3224.18,Cancelled
BK202311281824,TRVL000183,2023-11-28,"New York, USA",Flight Only,Multi-City,2,0,Website,2484.67,Confirmed
BK202311284178,TRVL001370,2023-11-28,Maldives,Complete Package,Multi-City,3,5,Website,21172.11,Confirmed
BK202311287969,TRVL001537,2023-11-28,"New York, USA",Flight Only,One Way,4,0,Travel Agent,1651.66,Confirmed
BK202311286550,TRVL000015,2023-11-28,"New York, USA",Flight + Hotel,Multi-City,2,2,Email,1655.52,Confirmed
BK202311287770,TRVL001348,2023-11-28,"Cancun, Mexico",Hotel Only,Round Trip,3,11,Website,1768.41,Confirmed
BK202311281670,TRVL000164,2023-11-28,"Bali, Indonesia",Cruise,Round Trip,3,12,Travel Agent,20899.15,Confirmed
BK202311284860,TRVL000250,2023-11-28,"Miami, USA",Flight + Hotel,Round Trip,1,2,Mobile App,1643.05,Cancelled
BK202311285611,TRVL000974,2023-11-28,"Los Angeles, USA",Cruise,One Way,1,16,Phone,4202.14,Confirmed
BK202311287482,TRVL001778,2023-11-28,"Berlin, Germany",Flight Only,One Way,1,0,Email,1274.97,Confirmed
BK202311289771,TRVL000315,2023-11-28,"London, UK",Hotel Only,One Way,4,13,Phone,1394.56,Confirmed
BK202311283984,TRVL000098,2023-11-28,"Bali, Indonesia",Cruise,One Way,2,11,Website,8404.3,Confirmed
BK202311287527,TRVL001001,2023-11-28,"Dubai, UAE",Flight Only,Round Trip,2,0,Phone,590.21,Confirmed
BK202311284563,TRVL000697,2023-11-28,"Paris, France",Flight Only,Round Trip,1,0,Phone,1436.37,Confirmed
BK202311283663,TRVL000039,2023-11-28,Maldives,Complete Package,Multi-City,2,9,Email,9704.81,Confirmed
BK202311283476,TRVL000082,2023-11-28,"Berlin, Germany",Hotel Only,Round Trip,1,15,Website,414.71,Confirmed
BK202311293942,TRVL000071,2023-11-29,"Istanbul, Turkey",Flight Only,One Way,2,0,Phone,2862.93,Confirmed
BK202311293613,TRVL000004,2023-11-29,"Berlin, Germany",Flight Only,One Way,1,0,Website,1097.82,Confirmed
BK202311295466,TRVL000593,2023-11-29,"Paris, France",Flight + Hotel,Round Trip,2,3,Phone,2410.44,Confirmed
BK202311294025,TRVL000178,2023-11-29,"Sydney, Australia",Flight Only,One Way,4,0,Phone,3318.44,Confirmed
BK202311292666,TRVL001760,2023-11-29,"London, UK",Flight + Hotel,Round Trip,1,4,Mobile App,2442.47,Confirmed
BK202311296532,TRVL001457,2023-11-29,"Phuket, Thailand",Hotel Only,One Way,3,12,Phone,1766.7,Confirmed
BK202311292974,TRVL000158,2023-11-29,"Paris, France",Complete Package,Multi-City,1,7,Travel Agent,4106.61,Confirmed
BK202311293448,TRVL001429,2023-11-29,"Paris, France",Complete Package,Multi-City,2,9,Email,3892.67,Confirmed
BK202311295237,TRVL001780,2023-11-29,Switzerland,Flight Only,Multi-City,2,0,Website,3023.17,Confirmed
BK202311299418,TRVL000638,2023-11-29,"London, UK",Hotel Only,Round Trip,2,11,Website,1593.1,Confirmed
BK202311299901,TRVL001217,2023-11-29,"Bali, Indonesia",Complete Package,Multi-City,2,7,Email,13698.98,Confirmed
BK202311293934,TRVL000044,2023-11-29,"New York, USA",Cruise,Round Trip,2,4,Travel Agent,5744.25,Confirmed
BK202311299049,TRVL000838,2023-11-29,Maldives,Flight Only,Multi-City,2,0,Travel Agent,1975.58,Cancelled
BK202311296158,TRVL000001,2023-11-29,"Bali, Indonesia",Complete Package,Multi-City,2,20,Email,3013.54,Confirmed
BK202311299662,TRVL000431,2023-11-29,"London, UK",Cruise,Round Trip,1,6,Travel Agent,10477.11,Confirmed
BK202311296928,TRVL000003,2023-11-29,"Barcelona, Spain",Cruise,One Way,3,5,Website,20929.36,Confirmed
BK202311298547,TRVL000002,2023-11-29,"Bangkok, Thailand",Flight + Hotel,One Way,1,21,Email,2396.51,Confirmed
BK202311297388,TRVL000471,2023-11-29,"Prague, Czech Republic",Complete Package,Multi-City,5,5,Email,11285.33,Confirmed
BK202311296987,TRVL001035,2023-11-29,"Copenhagen, Denmark",Complete Package,Round Trip,4,14,Website,24415.19,Confirmed
BK202311297924,TRVL000516,2023-11-29,"Los Angeles, USA",Flight Only,Round Trip,2,0,Travel Agent,937.01,Confirmed
BK202311292141,TRVL000898,2023-11-29,"Istanbul, Turkey",Flight + Hotel,Round Trip,2,10,Travel Agent,2695.18,Confirmed
BK202311296899,TRVL000049,2023-11-29,"Rome, Italy",Cruise,One Way,2,16,Travel Agent,6125.98,Confirmed
BK202311309172,TRVL000002,2023-11-30,"Miami, USA",Flight Only,Multi-City,1,0,Phone,855.88,Cancelled
BK202311303334,TRVL000011,2023-11-30,"Barcelona, Spain",Flight Only,One Way,1,0,Travel Agent,516.72,Confirmed
BK202311303855,TRVL001363,2023-11-30,"Bangkok, Thailand",Hotel Only,One Way,5,14,Mobile App,3599.55,Confirmed
BK202311308954,TRVL000900,2023-11-30,"Prague, Czech Republic",Flight + Hotel,Round Trip,2,13,Website,1669.39,Confirmed
BK202311306755,TRVL001033,2023-11-30,"Rome, Italy",Cruise,Round Trip,3,17,Website,11050.93,Confirmed
BK202311309561,TRVL000332,2023-11-30,"Sydney, Australia",Flight Only,Round Trip,2,0,Travel Agent,2535.3,Confirmed
BK202311303677,TRVL000072,2023-11-30,"Rome, Italy",Flight + Hotel,Round Trip,2,21,Website,1835.73,Confirmed
BK202311309405,TRVL000871,2023-11-30,"Vienna, Austria",Flight Only,One Way,1,0,Phone,664.08,Confirmed
BK202311305835,TRVL000001,2023-11-30,"Paris, France",Hotel Only,Multi-City,1,5,Mobile App,528.02,Confirmed
BK202311307304,TRVL000088,2023-11-30,"Barcelona, Spain",Hotel Only,One Way,3,2,Mobile App,1159.21,Confirmed
BK202311307698,TRVL000357,2023-11-30,"Santorini, Greece",Flight Only,Round Trip,4,0,Mobile App,1794.78,Confirmed
BK202311301504,TRVL001091,2023-11-30,"Rome, Italy",Flight + Hotel,Multi-City,2,14,Email,2617.42,Confirmed
BK202311302860,TRVL001882,2023-11-30,"Bangkok, Thailand",Flight Only,Multi-City,2,0,Phone,975.58,Confirmed
BK202311305943,TRVL001836,2023-11-30,"Paris, France",Flight Only,Multi-City,6,0,Email,2529.95,Confirmed
BK202311302333,TRVL001533,2023-11-30,Switzerland,Cruise,One Way,2,17,Phone,14673.19,Confirmed
BK202311309444,TRVL000060,2023-11-30,"Los Angeles, USA",Hotel Only,Multi-City,2,16,Email,432.39,Confirmed
BK202311302874,TRVL000007,2023-11-30,"Bangkok, Thailand",Flight + Hotel,Round Trip,1,7,Website,747.26,Confirmed
BK202311303554,TRVL000136,2023-11-30,"Bangkok, Thailand",Hotel Only,One Way,4,19,Email,751.45,Confirmed
BK202312018801,TRVL000134,2023-12-01,"Vienna, Austria",Flight + Hotel,Multi-City,1,12,Phone,2335.99,Confirmed
BK202312011139,TRVL000060,2023-12-01,"Los Angeles, USA",Flight Only,Multi-City,2,0,Mobile App,578.8,Confirmed
BK202312011893,TRVL000624,2023-12-01,"Los Angeles, USA",Cruise,Round Trip,1,15,Email,8262.25,Confirmed
BK202312019956,TRVL000468,2023-12-01,Switzerland,Cruise,One Way,2,16,Travel Agent,4788.39,Confirmed
BK202312019385,TRVL000239,2023-12-01,"Sydney, Australia",Flight + Hotel,Round Trip,2,7,Travel Agent,3205.02,Confirmed
BK202312015208,TRVL000286,2023-12-01,"Amsterdam, Netherlands",Hotel Only,Multi-City,1,5,Mobile App,165.74,Confirmed
BK202312011783,TRVL000617,2023-12-01,Singapore,Complete Package,Round Trip,2,17,Mobile App,4323.18,Confirmed
BK202312016810,TRVL000699,2023-12-01,"Phuket, Thailand",Hotel Only,Round Trip,2,8,Email,1306.44,Confirmed
BK202312011410,TRVL000277,2023-12-01,"London, UK",Flight Only,One Way,1,0,Mobile App,585.0,Confirmed
BK202312016060,TRVL000375,2023-12-01,Switzerland,Complete Package,Multi-City,1,21,Phone,6286.17,Cancelled
BK202312019752,TRVL000002,2023-12-01,"Tokyo, Japan",Cruise,Round Trip,4,5,Travel Agent,8921.81,Confirmed
BK202312011989,TRVL000597,2023-12-01,"Vienna, Austria",Complete Package,Multi-City,5,6,Phone,27607.32,Confirmed
BK202312014388,TRVL000114,2023-12-01,"Phuket, Thailand",Cruise,Round Trip,1,19,Phone,6885.79,Confirmed
BK202312016141,TRVL000033,2023-12-01,"London, UK",Flight + Hotel,Multi-City,2,18,Mobile App,2818.14,Confirmed
BK202312019711,TRVL000023,2023-12-01,"Paris, France",Hotel Only,Multi-City,1,3,Mobile App,252.18,Confirmed
BK202312012468,TRVL001499,2023-12-01,Iceland,Flight Only,Multi-City,2,0,Mobile App,548.82,Confirmed
BK202312018654,TRVL000967,2023-12-01,"New York, USA",Cruise,One Way,4,21,Mobile App,9156.98,Confirmed
BK202312015726,TRVL000007,2023-12-01,"Amsterdam, Netherlands",Cruise,Multi-City,4,14,Website,26609.06,Confirmed
BK202312016765,TRVL000361,2023-12-01,Singapore,Hotel Only,Multi-City,1,16,Phone,610.11,Confirmed
BK202312019267,TRVL000024,2023-12-01,"Miami, USA",Flight Only,One Way,2,0,Website,727.7,Confirmed
BK202312012450,TRVL000185,2023-12-01,"Berlin, Germany",Flight Only,Multi-City,2,0,Mobile App,1659.94,Confirmed
BK202312016994,TRVL001661,2023-12-01,"Berlin, Germany",Hotel Only,Multi-City,2,10,Email,389.58,Confirmed
BK202312014013,TRVL000696,2023-12-01,"Vienna, Austria",Flight Only,Multi-City,1,0,Mobile App,1270.72,Confirmed
BK202312013014,TRVL000801,2023-12-01,"Barcelona, Spain",Flight + Hotel,One Way,2,7,Website,5751.28,Confirmed
BK202312028709,TRVL000146,2023-12-02,"Copenhagen, Denmark",Flight + Hotel,Multi-City,2,17,Mobile App,5181.27,Confirmed
BK202312028718,TRVL000918,2023-12-02,"Paris, France",Cruise,Multi-City,2,16,Mobile App,9004.44,Confirmed
BK202312028761,TRVL001491,2023-12-02,"New York, USA",Flight + Hotel,One Way,2,13,Phone,2802.59,Confirmed
BK202312024467,TRVL000144,2023-12-02,"Bangkok, Thailand",Cruise,Multi-City,1,8,Travel Agent,2634.97,Confirmed
BK202312024609,TRVL000118,2023-12-02,"Miami, USA",Complete Package,Multi-City,2,10,Travel Agent,11611.29,Confirmed
BK202312021816,TRVL000965,2023-12-02,"Vienna, Austria",Flight Only,Multi-City,1,0,Travel Agent,1516.84,Confirmed
BK202312027083,TRVL000686,2023-12-02,"Sydney, Australia",Flight Only,One Way,2,0,Email,410.62,Confirmed
BK202312029538,TRVL000424,2023-12-02,"Tokyo, Japan",Complete Package,Round Trip,1,19,Travel Agent,2406.49,Confirmed
BK202312027561,TRVL000007,2023-12-02,"Tokyo, Japan",Flight + Hotel,One Way,4,18,Website,4073.6,Confirmed
BK202312024360,TRVL000755,2023-12-02,"Paris, France",Hotel Only,Multi-City,2,2,Website,1173.14,Confirmed
BK202312023380,TRVL000291,2023-12-02,"Amsterdam, Netherlands",Cruise,Multi-City,3,10,Phone,37002.46,Confirmed
BK202312033329,TRVL000066,2023-12-03,"Phuket, Thailand",Flight + Hotel,One Way,2,14,Mobile App,2282.9,Confirmed
BK202312034522,TRVL001808,2023-12-03,"Bangkok, Thailand",Flight + Hotel,One Way,3,21,Mobile App,3789.27,Confirmed
BK202312034801,TRVL000030,2023-12-03,"Istanbul, Turkey",Flight Only,One Way,2,0,Mobile App,512.33,Confirmed
BK202312039507,TRVL000852,2023-12-03,"Los Angeles, USA",Cruise,One Way,1,16,Mobile App,5333.84,Confirmed
BK202312032069,TRVL000894,2023-12-03,"Phuket, Thailand",Cruise,Round Trip,4,13,Email,11639.48,Confirmed
BK202312035911,TRVL001627,2023-12-03,"Santorini, Greece",Flight + Hotel,Multi-City,2,19,Phone,4749.35,Cancelled
BK202312031764,TRVL000531,2023-12-03,"Rome, Italy",Flight + Hotel,One Way,2,8,Travel Agent,4786.54,Confirmed
BK202312038104,TRVL000023,2023-12-03,Iceland,Flight Only,Multi-City,2,0,Email,2886.77,Cancelled
BK202312032708,TRVL001670,2023-12-03,"Miami, USA",Flight + Hotel,Multi-City,3,16,Phone,4450.91,Confirmed
BK202312034197,TRVL000514,2023-12-03,"Barcelona, Spain",Hotel Only,Multi-City,3,5,Travel Agent,1661.19,Confirmed
BK202312035054,TRVL000878,2023-12-03,Maldives,Complete Package,Multi-City,5,20,Mobile App,36442.09,Confirmed
BK202312035927,TRVL000348,2023-12-03,"Amsterdam, Netherlands",Flight Only,One Way,2,0,Website,615.39,Confirmed
BK202312037273,TRVL000031,2023-12-03,Maldives,Flight Only,Multi-City,2,0,Phone,3067.67,Confirmed
BK202312038430,TRVL001391,2023-12-03,"Phuket, Thailand",Complete Package,Round Trip,3,2,Phone,7128.42,Cancelled
BK202312036499,TRVL001541,2023-12-03,"Berlin, Germany",Cruise,Multi-City,1,16,Mobile App,10039.39,Confirmed
BK202312038458,TRVL001776,2023-12-03,Switzerland,Flight Only,Round Trip,1,0,Website,974.7,Confirmed
BK202312049802,TRVL000396,2023-12-04,"Bali, Indonesia",Flight Only,One Way,4,0,Email,2912.66,Confirmed
BK202312044870,TRVL000009,2023-12-04,"Bangkok, Thailand",Complete Package,Round Trip,4,21,Travel Agent,6739.81,Confirmed
BK202312044292,TRVL001155,2023-12-04,"Cancun, Mexico",Hotel Only,Multi-City,2,13,Travel Agent,576.85,Confirmed
BK202312049063,TRVL001628,2023-12-04,Iceland,Complete Package,Multi-City,3,18,Email,18508.92,Confirmed
BK202312044290,TRVL001304,2023-12-04,"Prague, Czech Republic",Cruise,One Way,2,7,Travel Agent,6360.82,Confirmed
BK202312048833,TRVL000155,2023-12-04,"Cancun, Mexico",Cruise,One Way,2,4,Travel Agent,19627.83,Confirmed
BK202312043263,TRVL001207,2023-12-04,"Cancun, Mexico",Flight + Hotel,Round Trip,2,14,Website,4278.19,Confirmed
BK202312048233,TRVL000887,2023-12-04,"Cancun, Mexico",Cruise,Multi-City,2,3,Email,5914.35,Confirmed
BK202312044871,TRVL001149,2023-12-04,Singapore,Cruise,Multi-City,2,5,Website,4423.68,Confirmed
BK202312044198,TRVL000024,2023-12-04,"Sydney, Australia",Hotel Only,Round Trip,2,9,Phone,786.95,Confirmed
BK202312049326,TRVL000113,2023-12-04,"Santorini, Greece",Hotel Only,One Way,1,21,Mobile App,222.86,Confirmed
BK202312041727,TRVL000044,2023-12-04,"Miami, USA",Complete Package,Multi-City,1,20,Email,5397.68,Confirmed
BK202312046284,TRVL000020,2023-12-04,"Vienna, Austria",Flight + Hotel,Multi-City,1,2,Website,2658.66,Confirmed
BK202312043991,TRVL000324,2023-12-04,"Tokyo, Japan",Flight Only,Multi-City,5,0,Website,6326.61,Confirmed
BK202312046255,TRVL000308,2023-12-04,"New York, USA",Flight + Hotel,Round Trip,5,16,Mobile App,8515.92,Confirmed
BK202312044698,TRVL000347,2023-12-04,Iceland,Flight + Hotel,Round Trip,1,5,Phone,2185.74,Confirmed
BK202312045787,TRVL000003,2023-12-04,"New York, USA",Cruise,One Way,1,8,Mobile App,5153.43,Confirmed
BK202312045485,TRVL000021,2023-12-04,"Bali, Indonesia",Hotel Only,Round Trip,2,16,Mobile App,650.05,Cancelled
BK202312046787,TRVL001505,2023-12-04,"Copenhagen, Denmark",Flight Only,Multi-City,1,0,Phone,961.28,Confirmed
BK202312049162,TRVL000032,2023-12-04,"Prague, Czech Republic",Complete Package,Multi-City,1,7,Email,3841.9,Confirmed
BK202312041057,TRVL000213,2023-12-04,"London, UK",Flight Only,One Way,1,0,Mobile App,1189.78,Confirmed
BK202312043258,TRVL000088,2023-12-04,"Sydney, Australia",Flight + Hotel,One Way,2,2,Email,2014.17,Confirmed
BK202312043257,TRVL000016,2023-12-04,"Vienna, Austria",Complete Package,One Way,2,5,Email,5865.14,Confirmed
BK202312049750,TRVL001552,2023-12-04,"Amsterdam, Netherlands",Cruise,Multi-City,1,21,Travel Agent,4486.3,Confirmed
BK202312058662,TRVL000994,2023-12-05,"Rome, Italy",Complete Package,Multi-City,4,7,Email,28873.1,Confirmed
BK202312058431,TRVL000035,2023-12-05,"Bangkok, Thailand",Cruise,One Way,1,18,Mobile App,4841.86,Cancelled
BK202312054500,TRVL000226,2023-12-05,"London, UK",Cruise,Multi-City,2,11,Website,7505.28,Confirmed
BK202312055458,TRVL000882,2023-12-05,"Cancun, Mexico",Flight + Hotel,One Way,1,9,Website,1712.87,Confirmed
BK202312053912,TRVL001378,2023-12-05,"Tokyo, Japan",Cruise,One Way,5,10,Website,41755.85,Cancelled
BK202312053558,TRVL000218,2023-12-05,"Prague, Czech Republic",Flight Only,Multi-City,4,0,Phone,2569.58,Confirmed
BK202312057816,TRVL001024,2023-12-05,Maldives,Flight + Hotel,One Way,2,5,Travel Agent,3524.69,Confirmed
BK202312058373,TRVL001362,2023-12-05,"Rome, Italy",Complete Package,One Way,1,2,Travel Agent,4143.6,Confirmed
BK202312057970,TRVL000519,2023-12-05,"Rome, Italy",Flight Only,Round Trip,3,0,Website,2408.88,Confirmed
BK202312053524,TRVL000831,2023-12-05,"Vienna, Austria",Flight Only,One Way,4,0,Website,3932.79,Confirmed
BK202312055059,TRVL000221,2023-12-05,"Bali, Indonesia",Complete Package,Round Trip,2,3,Phone,8421.22,Confirmed
BK202312054022,TRVL000626,2023-12-05,"Phuket, Thailand",Complete Package,Multi-City,2,15,Mobile App,5842.81,Confirmed
BK202312053966,TRVL000153,2023-12-05,"Bangkok, Thailand",Cruise,Multi-City,2,20,Travel Agent,5941.11,Confirmed
BK202312056067,TRVL000015,2023-12-05,"Miami, USA",Flight Only,One Way,2,0,Travel Agent,2135.3,Confirmed
BK202312053217,TRVL001554,2023-12-05,"Tokyo, Japan",Flight Only,One Way,4,0,Website,817.33,Confirmed
BK202312052317,TRVL000480,2023-12-05,"Copenhagen, Denmark",Complete Package,One Way,2,12,Travel Agent,14547.13,Confirmed
BK202312054170,TRVL000690,2023-12-05,Maldives,Hotel Only,One Way,1,16,Phone,176.13,Confirmed
BK202312056671,TRVL001203,2023-12-05,"New York, USA",Complete Package,Round Trip,2,6,Mobile App,15302.31,Confirmed
BK202312055211,TRVL000056,2023-12-05,Switzerland,Hotel Only,Round Trip,6,12,Email,4151.51,Confirmed
BK202312057816,TRVL000277,2023-12-05,"Cancun, Mexico",Hotel Only,One Way,1,21,Phone,470.07,Confirmed
BK202312052366,TRVL001183,2023-12-05,Iceland,Complete Package,One Way,2,19,Email,14006.65,Confirmed
BK202312064750,TRVL000683,2023-12-06,"Vienna, Austria",Hotel Only,Multi-City,1,9,Email,841.37,Confirmed
BK202312064762,TRVL001943,2023-12-06,"Istanbul, Turkey",Flight Only,One Way,1,0,Email,390.26,Confirmed
BK202312064050,TRVL000488,2023-12-06,Maldives,Flight + Hotel,Round Trip,3,11,Travel Agent,2375.08,Confirmed
BK202312067876,TRVL000005,2023-12-06,"Tokyo, Japan",Hotel Only,Multi-City,2,17,Phone,553.85,Confirmed
BK202312061472,TRVL000547,2023-12-06,Singapore,Flight Only,One Way,1,0,Website,1175.88,Confirmed
BK202312069636,TRVL000391,2023-12-06,"Miami, USA",Complete Package,Round Trip,2,3,Travel Agent,10807.51,Confirmed
BK202312066966,TRVL000253,2023-12-06,"Berlin, Germany",Flight Only,One Way,1,0,Phone,227.74,Confirmed
BK202312065288,TRVL000755,2023-12-06,"Santorini, Greece",Flight + Hotel,One Way,1,12,Email,2496.55,Confirmed
BK202312063136,TRVL000018,2023-12-06,"Amsterdam, Netherlands",Flight + Hotel,Multi-City,2,16,Mobile App,1271.9,Cancelled
BK202312067647,TRVL000090,2023-12-06,"Dubai, UAE",Flight + Hotel,One Way,2,19,Phone,2401.27,Confirmed
BK202312061944,TRVL000023,2023-12-06,Singapore,Cruise,Multi-City,1,17,Email,9051.74,Confirmed
BK202312063709,TRVL000071,2023-12-06,"Vienna, Austria",Cruise,Round Trip,2,12,Email,10422.09,Confirmed
BK202312062086,TRVL000368,2023-12-06,Singapore,Hotel Only,Round Trip,1,15,Phone,608.28,Confirmed
BK202312066482,TRVL000084,2023-12-06,"Rome, Italy",Complete Package,One Way,4,21,Mobile App,24600.75,Confirmed
BK202312067070,TRVL001208,2023-12-06,"Amsterdam, Netherlands",Complete Package,One Way,4,11,Mobile App,13222.18,Confirmed
BK202312063137,TRVL000071,2023-12-06,"New York, USA",Complete Package,One Way,4,9,Travel Agent,15111.75,Confirmed
BK202312061701,TRVL000004,2023-12-06,"New York, USA",Flight + Hotel,One Way,3,12,Website,6490.03,Confirmed
BK202312069174,TRVL000758,2023-12-06,"Bangkok, Thailand",Flight + Hotel,One Way,1,14,Phone,1373.2,Confirmed
BK202312069768,TRVL000936,2023-12-06,Switzerland,Flight Only,Multi-City,1,0,Mobile App,1110.11,Confirmed
BK202312064943,TRVL000707,2023-12-06,"Prague, Czech Republic",Flight Only,One Way,1,0,Email,1231.81,Confirmed
BK202312068857,TRVL000160,2023-12-06,"Cancun, Mexico",Complete Package,Round Trip,2,6,Mobile App,4883.8,Confirmed
BK202312071933,TRVL000274,2023-12-07,Singapore,Cruise,One Way,2,21,Phone,11290.64,Confirmed
BK202312074861,TRVL000659,2023-12-07,"Tokyo, Japan",Hotel Only,Round Trip,3,7,Travel Agent,333.97,Confirmed
BK202312074396,TRVL000074,2023-12-07,Iceland,Complete Package,One Way,6,5,Travel Agent,26833.75,Confirmed
BK202312074548,TRVL001340,2023-12-07,Maldives,Complete Package,Multi-City,2,7,Mobile App,6553.28,Confirmed
BK202312071610,TRVL000114,2023-12-07,"Bangkok, Thailand",Complete Package,Round Trip,2,19,Mobile App,13305.37,Confirmed
BK202312074001,TRVL000005,2023-12-07,"Tokyo, Japan",Cruise,One Way,1,11,Website,8389.19,Confirmed
BK202312072771,TRVL000003,2023-12-07,"Amsterdam, Netherlands",Hotel Only,Round Trip,3,17,Travel Agent,934.46,Cancelled
BK202312079295,TRVL001722,2023-12-07,"Vienna, Austria",Flight Only,One Way,2,0,Website,2694.89,Confirmed
BK202312078538,TRVL001670,2023-12-07,"Dubai, UAE",Flight Only,Round Trip,2,0,Mobile App,2524.07,Confirmed
BK202312074477,TRVL001117,2023-12-07,"New York, USA",Cruise,Round Trip,3,20,Phone,27826.72,Confirmed
BK202312077397,TRVL000350,2023-12-07,"Phuket, Thailand",Hotel Only,Multi-City,3,20,Mobile App,849.24,Confirmed
BK202312078047,TRVL001614,2023-12-07,"Tokyo, Japan",Flight + Hotel,One Way,3,13,Phone,6962.84,Confirmed
BK202312073008,TRVL000173,2023-12-07,"Vienna, Austria",Hotel Only,Multi-City,2,20,Email,1182.7,Confirmed
BK202312072232,TRVL000568,2023-12-07,"Bangkok, Thailand",Cruise,Multi-City,2,6,Mobile App,23046.27,Confirmed
BK202312075583,TRVL000569,2023-12-07,Maldives,Complete Package,Round Trip,1,2,Travel Agent,7595.85,Confirmed
BK202312076083,TRVL001506,2023-12-07,"Los Angeles, USA",Hotel Only,One Way,2,12,Email,1345.27,Cancelled
BK202312078828,TRVL000128,2023-12-07,"Barcelona, Spain",Flight + Hotel,Multi-City,4,14,Website,7720.83,Confirmed
BK202312078612,TRVL001202,2023-12-07,"Dubai, UAE",Cruise,Multi-City,1,7,Travel Agent,5616.18,Confirmed
BK202312079015,TRVL000141,2023-12-07,"Istanbul, Turkey",Flight + Hotel,Multi-City,2,8,Mobile App,5582.35,Confirmed
BK202312073771,TRVL001672,2023-12-07,"Cancun, Mexico",Complete Package,One Way,1,14,Mobile App,4156.65,Confirmed
BK202312076554,TRVL000396,2023-12-07,Maldives,Flight Only,Multi-City,1,0,Mobile App,617.8,Confirmed
BK202312071859,TRVL001537,2023-12-07,"Prague, Czech Republic",Hotel Only,Round Trip,2,19,Email,1502.95,Confirmed
BK202312077252,TRVL000022,2023-12-07,"Bangkok, Thailand",Cruise,One Way,4,9,Email,10088.77,Confirmed
BK202312078932,TRVL000416,2023-12-07,"Bali, Indonesia",Flight + Hotel,Multi-City,1,3,Travel Agent,1048.39,Cancelled
BK202312075278,TRVL001931,2023-12-07,Switzerland,Complete Package,Multi-City,2,10,Mobile App,10540.21,Confirmed
BK202312075927,TRVL000278,2023-12-07,"Paris, France",Flight + Hotel,Multi-City,2,10,Website,4425.73,Confirmed
BK202312079321,TRVL000001,2023-12-07,"Santorini, Greece",Cruise,Round Trip,3,7,Email,25622.22,Confirmed
BK202312072983,TRVL000125,2023-12-07,"Miami, USA",Flight Only,One Way,2,0,Website,2266.46,Cancelled
BK202312082549,TRVL001511,2023-12-08,"Tokyo, Japan",Complete Package,Multi-City,2,5,Email,8695.55,Confirmed
